position,company,location,posted
Junior Data Analyst (Remote Internship – Data Analysis),TalentKompass Deutschland,"Nairobi, Nairobi County, Kenya",3 days ago
Business Intelligence Analyst,Wasoko,"Nairobi, Nairobi County, Kenya",2 days ago
Research Assistant,Kenya Red Cross,"Nairobi, Nairobi County, Kenya",2 days ago
Full time / Data Entry Assistant (Remote),Provokat,"Kakamega, Kakamega County, Kenya",2 days ago
Junior Python Developer (Remote Internship – IT),TalentKompass Deutschland,"Nairobi, Nairobi County, Kenya",3 days ago
Junior Business Analyst (Remote Internship),TalentKompass Deutschland,"Nairobi, Nairobi County, Kenya",3 days ago
Fellow - Young Leaders Program,McKinsey & Company,"Nairobi, Nairobi County, Kenya",4 days ago
Supply Planning Assistant,Vivo Energy,"Nairobi, Nairobi County, Kenya",2 days ago
Analista de Qualidade - Logistica - CD Embu,Vigor,"Embu, Embu, Kenya",1 week ago
Junior Market Analyst (Remote Internship – Market Research),TalentKompass Deutschland,"Nairobi, Nairobi County, Kenya",3 days ago
Associate,Busara,"Nairobi, Nairobi County, Kenya",2 weeks ago
Business Analyst – Renewable Energy Investments – Nairobi,AltGen,"Nairobi, Nairobi County, Kenya",4 days ago
Analytics Engineer,Flare Emergency Response,"Nairobi, Nairobi County, Kenya",1 month ago
Junior Project Manager (Remote Management Internship),TalentKompass Deutschland,"Nairobi, Nairobi County, Kenya",3 days ago
Data Analyst,FieldPro (By Optimetriks),"Nairobi, Nairobi County, Kenya",1 month ago
"Commercial Business Partner, Financial Planning and Analysis Manager",Coca-Cola Beverages Africa,"Nairobi, Nairobi County, Kenya",2 days ago
ADMINISTRATIVE ASSISTANT,UN Environment Programme,"Nairobi, Nairobi County, Kenya",1 week ago
Product Business Analyst,BURN MANUFACTURING,"Nairobi, Nairobi County, Kenya",2 days ago
Customer Service Representative- Remote,eStaffing Inc.,Kenya,1 month ago
Intern,IAVI,"Nairobi, Nairobi County, Kenya",1 week ago
Accounts Payables Assistant_ Tax,Coca-Cola Beverages Africa,"Nairobi, Nairobi County, Kenya",2 days ago
Office Administrator,Control Risks,"Nairobi, Nairobi County, Kenya",3 weeks ago
Intern,IAVI,Kenya,1 week ago
RESEARCH MANAGER,Verde Edge Consulting,"Nairobi, Nairobi County, Kenya",1 month ago
"Associate (Projects), Nairobi",Instiglio,"Nairobi, Nairobi County, Kenya",3 weeks ago
